time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20100107:1811,0,0,0,0,0,-4.23,2.14,0
20100107:1911,0,0,0,0,0,-4.07,2.21,0
20100107:2011,0,0,0,0,0,-4.37,2.14,0
20100107:2111,0,0,0,0,0,-4.5,2.14,0
20100107:2211,0,0,0,0,0,-4.59,2.21,0
20100107:2311,0,0,0,0,0,-4.61,2.41,0
20100108:0011,0,0,0,0,0,-4.69,2.41,0
20100108:0111,0,0,0,0,0,-4.82,2.28,0
20100108:0211,0,0,0,0,0,-4.95,2.21,0
20100108:0311,0,0,0,0,0,-5,2.28,0
20100108:0411,0,0,0,0,0,-4.93,2.41,0
20100108:0511,0,0,0,0,0,-4.84,2.62,0
20100108:0611,0,0,0,0,0,-4.61,2.83,0
20100108:0711,0,0,0,0,0,-4.49,3.24,0
20100108:0811,0,0,0,0,0,-4.31,3.17,0
20100108:0911,674.41,211.14,91.35,2.3,8.22,-4.04,3.24,0
20100108:1011,487.77,106.93,115.46,3.01,12.81,-3.31,3.86,0
20100108:1111,937.46,253.51,160.07,4.49,15.37,-2.68,4.14,0
20100108:1211,994.8,275.51,163.82,4.67,15.67,-2.36,4,0
20100108:1311,613.2,145.55,129.96,3.44,13.66,-2.48,4.34,0
20100108:1411,146.67,19.66,59.17,1.53,9.56,-2.88,4.41,0
20100108:1511,275.55,107.22,29.27,0.77,3.68,-3.59,4.21,0
20100108:1611,0,0,0,0,0,-4.32,4.28,0
20100108:1711,0,0,0,0,0,-4.67,4.55,0
20100108:1811,0,0,0,0,0,-4.66,4.69,0
20100108:1911,0,0,0,0,0,-4.34,4.48,0
20100108:2011,0,0,0,0,0,-4,4.62,0
20100108:2111,0,0,0,0,0,-3.67,4.97,0
20100108:2211,0,0,0,0,0,-3.23,5.45,0
20100108:2311,0,0,0,0,0,-3.18,5.86,0
20100109:0011,0,0,0,0,0,-3.29,6.14,0
20100109:0111,0,0,0,0,0,-3.21,6.41,0
20100109:0211,0,0,0,0,0,-3.44,6.69,0
20100109:0311,0,0,0,0,0,-3.57,6.83,0
20100109:0411,0,0,0,0,0,-3.69,6.97,0
20100109:0511,0,0,0,0,0,-3.69,7.03,0
20100109:0611,0,0,0,0,0,-3.86,7.17,0
20100109:0711,0,0,0,0,0,-3.55,7.79,0
20100109:0811,0,0,0,0,0,-3.39,7.79,0
20100109:0911,386.43,102.33,78.2,1.91,8.31,-2.74,7.93,0
20100109:1011,110.96,3.32,59.88,1.55,12.92,-1.87,6.83,0
20100109:1111,459.35,81.92,129.4,3.42,15.5,-1,7.31,0
20100109:1211,327.41,42.09,114.37,3.01,15.81,-0.55,7.79,0
20100109:1311,176.48,12.83,79.62,2.07,13.82,-0.35,8,0
20100109:1411,250.75,50.44,74.1,1.89,9.72,-0.35,6.97,0
20100109:1511,390.13,154.61,32.57,0.91,3.85,-0.49,8.34,0
20100109:1611,0,0,0,0,0,-0.7,8,0
20100109:1711,0,0,0,0,0,-0.73,7.86,0
20100109:1811,0,0,0,0,0,-0.72,7.66,0
20100109:1911,0,0,0,0,0,-0.66,7.24,0
20100109:2011,0,0,0,0,0,-0.56,7.1,0
20100109:2111,0,0,0,0,0,-0.47,7.1,0
20100109:2211,0,0,0,0,0,-0.51,7.1,0
20100109:2311,0,0,0,0,0,-0.48,6.9,0
20100110:0011,0,0,0,0,0,-0.48,6.69,0
20100110:0111,0,0,0,0,0,-0.47,6.41,0
20100110:0211,0,0,0,0,0,-0.47,6.14,0
20100110:0311,0,0,0,0,0,-0.53,5.79,0
20100110:0411,0,0,0,0,0,-0.57,5.38,0
20100110:0511,0,0,0,0,0,-0.7,5.1,0
20100110:0611,0,0,0,0,0,-0.65,4.83,0
20100110:0711,0,0,0,0,0,-0.74,4.55,0
20100110:0811,0,0,0,0,0,-0.73,4.41,0
20100110:0911,90.77,8.43,45.97,1.18,8.41,-0.48,4.41,0
20100110:1011,80.28,0,49.59,1.28,13.04,-0.1,4.48,0
20100110:1111,47.22,0,33.65,0.87,15.63,0.28,5.52,0
20100110:1211,156.34,2.98,81.11,2.09,15.96,0.42,5.24,0
20100110:1311,91.41,0,54.9,1.41,13.98,0.52,4.97,0
20100110:1411,101.73,7.65,51.94,1.34,9.89,0.32,4.28,0
20100110:1511,47.99,14.16,20.19,0.52,4.02,-0.06,3.66,0
20100110:1611,0,0,0,0,0,-0.51,3.31,0
20100110:1711,0,0,0,0,0,-0.92,3.31,0
20100110:1811,0,0,0,0,0,-1.19,3.31,0
20100110:1911,0,0,0,0,0,-0.95,3.1,0
20100110:2011,0,0,0,0,0,-1.1,3.03,0
20100110:2111,0,0,0,0,0,-1.35,2.9,0
20100110:2211,0,0,0,0,0,-1.7,2.9,0
20100110:2311,0,0,0,0,0,-1.74,2.83,0
20100111:0011,0,0,0,0,0,-1.86,2.76,0
20100111:0111,0,0,0,0,0,-1.81,2.55,0
20100111:0211,0,0,0,0,0,-1.56,2.48,0
20100111:0311,0,0,0,0,0,-1.08,2.28,0
20100111:0411,0,0,0,0,0,-0.87,2.55,0
20100111:0511,0,0,0,0,0,-0.75,2.41,0
20100111:0611,0,0,0,0,0,-0.62,2.41,0
20100111:0711,0,0,0,0,0,-0.42,2.83,0
20100111:0811,0,0,0,0,0,-0.42,2.97,0
20100111:0911,118.22,16.67,50.44,1.3,8.51,-0.11,2.69,0
20100111:1011,70.68,0,45.16,1.16,13.16,0.44,3.93,0
20100111:1111,112.37,0,64.64,1.66,15.78,0.81,3.24,0
20100111:1211,104.41,0,61.1,1.57,16.12,1.17,3.03,0
20100111:1311,85.31,0,52.24,1.34,14.15,1.16,2.69,0
20100111:1411,68.55,0,44.27,1.14,10.06,1.17,2.62,0
20100111:1511,65.65,20.44,22.87,0.59,4.2,0.89,2.21,0
20100111:1611,0,0,0,0,0,0.41,2.14,0
20100111:1711,0,0,0,0,0,0.12,2.14,0
20100111:1811,0,0,0,0,0,-0.16,2.21,0
20100111:1911,0,0,0,0,0,-0.58,2.21,0
20100111:2011,0,0,0,0,0,-0.75,2,0
20100111:2111,0,0,0,0,0,-0.66,1.79,0
20100111:2211,0,0,0,0,0,-0.77,1.66,0
20100111:2311,0,0,0,0,0,-0.83,1.31,0
20100112:0011,0,0,0,0,0,-1.06,1.03,0
20100112:0111,0,0,0,0,0,-1.11,0.83,0
20100112:0211,0,0,0,0,0,-0.92,0.83,0
20100112:0311,0,0,0,0,0,-0.82,0.97,0
20100112:0411,0,0,0,0,0,-1.06,0.9,0
20100112:0511,0,0,0,0,0,-1.53,0.97,0
20100112:0611,0,0,0,0,0,-1.5,1.1,0
20100112:0711,0,0,0,0,0,-2.13,2,0
20100112:0811,0,0,0,0,0,-1.83,2.21,0
20100112:0911,120.6,16.47,51.3,1.32,8.63,-1.65,3.17,0
20100112:1011,125.98,3.24,67,1.73,13.29,-1.16,3.52,0
20100112:1111,257.37,23.75,103.48,2.71,15.93,-0.89,3.86,0
20100112:1211,820.95,205.72,161.2,4.46,16.28,-0.73,3.79,0
20100112:1311,264.84,31.19,99.28,2.6,14.33,-0.73,3.86,0
20100112:1411,164.85,22.32,65.11,1.69,10.25,-0.84,4.28,0
20100112:1511,82.11,26.25,24.6,0.64,4.38,-1.06,5.1,0
20100112:1611,0,0,0,0,0,-1.3,5.03,0
20100112:1711,0,0,0,0,0,-1.27,4.83,0
20100112:1811,0,0,0,0,0,-1.21,4.69,0
20100112:1911,0,0,0,0,0,-1.05,4.83,0
20100112:2011,0,0,0,0,0,-1.24,5.17,0
20100112:2111,0,0,0,0,0,-1.61,5.31,0
20100112:2211,0,0,0,0,0,-2.04,5.59,0
20100112:2311,0,0,0,0,0,-2.57,5.52,0
20100113:0011,0,0,0,0,0,-2.75,5.38,0
20100113:0111,0,0,0,0,0,-2.64,5.31,0
20100113:0211,0,0,0,0,0,-2.43,5.38,0
20100113:0311,0,0,0,0,0,-2.51,5.52,0
20100113:0411,0,0,0,0,0,-2.69,5.59,0
20100113:0511,0,0,0,0,0,-2.78,5.59,0
20100113:0611,0,0,0,0,0,-2.87,5.52,0
20100113:0711,0,0,0,0,0,-2.73,5.31,0
20100113:0811,237.51,106.14,16.11,0.48,2.39,-2.78,5.17,0
20100113:0911,176.53,32.52,59.63,1.53,8.74,-2.2,4.76,0
20100113:1011,177.27,12.83,79.69,2.07,13.43,-1.47,5.1,0
20100113:1111,151.01,2.95,78.43,2.03,16.08,-0.74,5.38,0
20100113:1211,107.19,0,61.98,1.59,16.45,-0.15,5.17,0
20100113:1311,38.54,0,29.22,0.75,14.51,0.14,4.83,0
20100113:1411,775.62,238.38,111.21,3.03,10.43,0,4.21,0
20100113:1511,183.5,63.23,34.15,0.87,4.57,-0.1,3.93,0
20100113:1611,0,0,0,0,0,-0.31,4,0
20100113:1711,0,0,0,0,0,-0.26,3.72,0
20100113:1811,0,0,0,0,0,-0.1,3.31,0
20100113:1911,0,0,0,0,0,-0.54,2.97,0
20100113:2011,0,0,0,0,0,-0.41,2.76,0
20100113:2111,0,0,0,0,0,-0.33,2.55,0
20100113:2211,0,0,0,0,0,-0.28,2.41,0
20100113:2311,0,0,0,0,0,-0.3,2.34,0
20100114:0011,0,0,0,0,0,-0.28,2.34,0
20100114:0111,0,0,0,0,0,-0.54,2.28,0
20100114:0211,0,0,0,0,0,-0.26,2.14,0
20100114:0311,0,0,0,0,0,-0.02,2.28,0
20100114:0411,0,0,0,0,0,0.18,2.48,0
20100114:0511,0,0,0,0,0,0.36,2.48,0
20100114:0611,0,0,0,0,0,0.45,2.55,0
20100114:0711,0,0,0,0,0,0.11,2.9,0
20100114:0811,88.21,40.65,14.39,0.39,2.5,0.22,3.17,0
20100114:0911,224.29,48.13,66.2,1.69,8.87,0.95,3.31,0
20100114:1011,337.65,57.21,106.06,2.78,13.57,1.87,3.24,0
20100114:1111,1000.53,286.3,167.6,4.9,16.24,3.06,3.52,0
20100114:1211,1125.77,341.18,171.66,5.26,16.63,3.53,3.24,0
20100114:1311,995.45,302.86,151.68,4.51,14.7,4.18,3.38,0
20100114:1411,902.79,303.6,110.89,3.3,10.62,3.92,3.03,0
20100114:1511,387.2,146.3,42.99,1.14,4.76,3.08,3.17,0
20100114:1611,0,0,0,0,0,1.89,3.38,0
20100114:1711,0,0,0,0,0,0.99,3.38,0
20100114:1811,0,0,0,0,0,0.63,3.31,0
20100114:1911,0,0,0,0,0,0.13,2.9,0
20100114:2011,0,0,0,0,0,-0.4,2.69,0
20100114:2111,0,0,0,0,0,-0.92,2.55,0
20100114:2211,0,0,0,0,0,-1.3,2.48,0
20100114:2311,0,0,0,0,0,-1.64,2.48,0
20100115:0011,0,0,0,0,0,-1.74,2.55,0
20100115:0111,0,0,0,0,0,-1.71,2.48,0
20100115:0211,0,0,0,0,0,-1.75,2.34,0
20100115:0311,0,0,0,0,0,-1.78,2.28,0
20100115:0411,0,0,0,0,0,-2.01,2.14,0
20100115:0511,0,0,0,0,0,-2.38,2,0
20100115:0611,0,0,0,0,0,-2.68,1.93,0
20100115:0711,0,0,0,0,0,-2.62,2.07,0
20100115:0811,41.76,19.45,11.89,0.32,2.61,-3.01,1.93,0
20100115:0911,17.71,0,17.71,0.46,9,-2.21,1.59,0
20100115:1011,63.49,0,41.62,1.07,13.73,-0.31,1.79,0
20100115:1111,273.1,26.08,109.39,2.87,16.41,1.18,1.93,0
20100115:1211,111.33,0,64.64,1.66,16.82,2.46,2.07,0
20100115:1311,105.18,0,61.98,1.59,14.89,3.2,1.93,0
20100115:1411,91.29,3.56,51.98,1.34,10.82,3.54,2.07,0
20100115:1511,0.77,0,6.2,0.16,4.96,3.45,1.79,0
20100115:1611,0,0,0,0,0,2.75,2.14,0
20100115:1711,0,0,0,0,0,2.14,2.34,0
20100115:1811,0,0,0,0,0,2.08,2.41,0
20100115:1911,0,0,0,0,0,1.56,2.62,0
20100115:2011,0,0,0,0,0,1.67,2.83,0
20100115:2111,0,0,0,0,0,1.64,2.9,0
20100115:2211,0,0,0,0,0,1.7,2.97,0
20100115:2311,0,0,0,0,0,1.7,3.1,0
20100116:0011,0,0,0,0,0,1.55,3.17,0
20100116:0111,0,0,0,0,0,1.47,3.52,0
20100116:0211,0,0,0,0,0,1.38,3.93,0
20100116:0311,0,0,0,0,0,1.09,4.07,0
20100116:0411,0,0,0,0,0,0.94,4.41,0
20100116:0511,0,0,0,0,0,0.95,4.62,0
20100116:0611,0,0,0,0,0,0.83,4.9,0
20100116:0711,0,0,0,0,0,1.05,5.1,0
20100116:0811,0,0,3.54,0.09,2.73,1.19,5.03,0
20100116:0911,55.78,0,38.08,0.98,9.14,1.5,5.1,0
20100116:1011,110.01,0,63.75,1.64,13.88,1.8,5.1,0
20100116:1111,224.94,14.36,100.36,2.62,16.59,2.15,4.62,0
20100116:1211,107.78,0,62.87,1.62,17.01,2.41,5.38,0
20100116:1311,844.42,227.83,153.45,4.3,15.09,2.88,5.52,0
