time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180603:1810,100.24,0,65.52,0.67,12.09,22.39,1.66,0
20180603:1910,0,0,2.77,0.03,3.72,21.56,1.66,0
20180603:2010,0,0,0,0,0,20.25,2.14,0
20180603:2110,0,0,0,0,0,19.12,2.34,0
20180603:2210,0,0,0,0,0,18.32,2.41,0
20180603:2310,0,0,0,0,0,17.59,2.34,0
20180604:0010,0,0,0,0,0,16.87,2.14,0
20180604:0110,0,0,0,0,0,16.33,1.93,0
20180604:0210,0,0,0,0,0,15.88,1.93,0
20180604:0310,0,0,0,0,0,15.59,2.07,0
20180604:0410,1.91,0,7.62,0.07,5.1,15.4,2.14,0
20180604:0510,121.4,4.87,69.33,0.69,13.58,15.85,2.83,0
20180604:0610,353.87,29.9,154.51,1.62,22.66,16.68,2.97,0
20180604:0710,689.32,96.3,248.55,2.87,31.99,18.37,2.62,0
20180604:0810,1612.84,619.68,202.68,5.76,41.18,19.87,2.48,0
20180604:0910,1760.63,731.84,182.01,7.02,49.69,21.1,2.34,0
20180604:1010,1573.51,513.8,301.93,7.03,56.63,22.06,2.21,0
20180604:1110,1160.79,181.17,414.33,5.7,60.58,22.93,2.41,0
20180604:1210,1147.1,190.91,397.08,5.93,60.22,23.25,2.62,0
20180604:1310,1130.21,270.25,306.1,6.48,55.7,23.22,3.03,0
20180604:1410,913.9,283.22,187.21,6.42,48.44,23.28,3.31,0
20180604:1510,616.16,91.83,236.64,4.55,39.77,23.04,3.52,0
20180604:1610,203.91,66.83,80.75,4.28,30.52,22.7,3.52,0
20180604:1710,192.87,0,111.67,1.13,21.21,22.37,3.38,0
20180604:1810,97.04,0,63.68,0.65,12.21,21.88,2.76,0
20180604:1910,8.18,0,12.92,0.13,3.84,20.64,3.03,0
20180604:2010,0,0,0,0,0,19.31,2.97,0
20180604:2110,0,0,0,0,0,18.13,2.9,0
20180604:2210,0,0,0,0,0,17.15,2.83,0
20180604:2310,0,0,0,0,0,16.34,2.62,0
20180605:0010,0,0,0,0,0,15.71,2.48,0
20180605:0110,0,0,0,0,0,15.19,2.41,0
20180605:0210,0,0,0,0,0,14.78,2.34,0
20180605:0310,0,0,0,0,0,14.57,2.34,0
20180605:0410,0.07,0,5.72,0.06,5.16,14.51,2.21,0
20180605:0510,36.88,0,30.49,0.3,13.65,15.12,2.83,0
20180605:0610,94.69,0,60.98,0.6,22.72,15.79,2.83,0
20180605:0710,160.75,0,93.38,0.92,32.04,15.76,2.55,0
20180605:0810,220.22,0,121.96,1.2,41.24,16.15,2.48,0
20180605:0910,275.92,0,148.64,1.46,49.76,16.66,2.48,0
20180605:1010,327.06,0,173.42,1.71,56.71,17.6,2.69,0
20180605:1110,459.59,0,237.26,2.33,60.69,18.49,2.62,0
20180605:1210,744.57,19.36,357.4,3.72,60.34,19.52,2.55,0
20180605:1310,758.41,27.27,358.81,3.88,55.81,20.79,2.48,0
20180605:1410,688.57,27.19,326.8,3.66,48.55,21.94,2.48,0
20180605:1510,590.26,146.93,174.8,5.18,39.88,22.35,2.62,0
20180605:1610,191.9,72.55,71.28,4.39,30.63,22.33,2.97,0
20180605:1710,150.11,0,90.44,0.92,21.32,21.96,3.17,0
20180605:1810,83.08,0,56.3,0.57,12.32,21.25,2.83,0
20180605:1910,9.5,0,13.84,0.14,3.96,19.6,2.21,0
20180605:2010,0,0,0,0,0,18.31,2.21,0
20180605:2110,0,0,0,0,0,17.15,2.41,0
20180605:2210,0,0,0,0,0,16.25,2.48,0
20180605:2310,0,0,0,0,0,15.52,2.62,0
20180606:0010,0,0,0,0,0,14.93,2.62,0
20180606:0110,0,0,0,0,0,14.45,2.55,0
20180606:0210,0,0,0,0,0,14.05,2.55,0
20180606:0310,0,0,0,0,0,13.71,2.41,0
20180606:0410,191.6,70.8,39.28,0.44,5.23,13.5,2.28,0
20180606:0510,719.75,244.24,110.06,1.66,13.7,14.22,2.07,0
20180606:0610,1195.51,448.86,138.25,3.18,22.77,15.92,2.34,0
20180606:0710,1533.06,625.49,144.29,4.73,32.1,17.61,2.28,0
20180606:0810,1718.04,731.07,151.96,6.09,41.3,19.6,2.21,0
20180606:0910,1814.02,799.37,148.1,7.24,49.83,21.47,2.28,0
20180606:1010,1823.32,827.16,131.95,8.1,56.79,23.17,2.41,0
20180606:1110,1734.93,798.44,112.42,8.55,60.79,24.59,2.55,0
20180606:1210,1547.94,702.49,104.51,8.53,60.45,25.7,2.62,0
20180606:1310,1278.19,576.9,86.53,8.09,55.93,26.38,2.48,0
20180606:1410,926.58,397.33,91.55,7.13,48.66,26.52,2.14,0
20180606:1510,531.22,235.45,73.27,5.96,39.99,26.89,2.14,0
20180606:1610,169.88,80.04,57.93,4.53,30.74,26.83,2.28,0
20180606:1710,141.09,0,87.67,0.89,21.43,26.5,2.28,0
20180606:1810,77.67,0,54.45,0.55,12.43,25.6,1.86,0
20180606:1910,10.47,0,14.77,0.15,4.07,24.17,2.07,0
20180606:2010,0,0,0,0,0,22.29,2.14,0
20180606:2110,0,0,0,0,0,20.75,2,0
20180606:2210,0,0,0,0,0,19.26,1.72,0
20180606:2310,0,0,0,0,0,18.6,1.17,0
20180607:0010,0,0,0,0,0,19,0.83,0
20180607:0110,0,0,0,0,0,18.01,0.97,0
20180607:0210,0,0,0,0,0,16.43,1.24,0
