time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20160614:0411,0,0,5.43,0.21,7.01,13.54,2.21,0
20160614:0511,54.54,0,38.79,1.46,15.18,13.7,2.28,0
20160614:0611,148.08,0,84.42,2.9,23.92,14.16,2.76,0
20160614:0711,255.56,0,134.73,4.63,32.88,15.39,2.28,0
20160614:0811,398.02,2.24,198.78,6.91,41.67,16.62,2.28,0
20160614:0911,824.35,77.57,323.91,13.36,49.74,17.73,2.48,0
20160614:1011,992.55,116.83,365.65,15.41,56.19,17.84,2.69,0
20160614:1111,422.64,0,213.19,7.32,59.73,17.83,2.83,0
20160614:1211,207.48,0,113.41,3.9,59.22,17.45,3.24,0
20160614:1311,154.53,0,88.69,3.05,54.84,17.67,2.97,0
20160614:1411,139.75,0,81.86,2.81,47.89,18.12,2.28,0
20160614:1511,112.94,0,69.07,2.37,39.58,18.44,1.59,0
20160614:1611,259.48,1.05,137.39,4.74,30.7,18.22,1.45,0
20160614:1711,328.48,31.71,140.85,5.83,21.76,17.18,1.86,0
20160614:1811,123.26,2.95,71.88,2.72,13.14,16,1.66,0
20160614:1911,6.15,0,10.86,0.41,5.15,15.22,1.24,0
20160614:2011,0,0,0,0,0,14.72,1.24,0
20160614:2111,0,0,0,0,0,14.04,1.59,0
20160614:2211,0,0,0,0,0,13.55,1.79,0
20160614:2311,0,0,0,0,0,13.21,2,0
20160615:0011,0,0,0,0,0,12.89,2.21,0
20160615:0111,0,0,0,0,0,12.31,2.34,0
20160615:0211,0,0,0,0,0,11.98,2.28,0
20160615:0311,0,0,0,0,0,11.59,2.21,0
20160615:0411,0.74,0,6.21,0.23,7.02,11.61,1.93,0
20160615:0511,44.39,0,33.36,1.26,15.19,12.51,1.59,0
20160615:0611,268.19,1.58,138.91,5.33,23.92,13.87,1.72,0
20160615:0711,552.47,146.07,140.16,13.65,32.88,14.8,2.14,0
20160615:0811,869.84,168.67,252.78,15.05,41.68,16,2.55,0
20160615:0911,1163.1,264.85,297.77,18.04,49.75,16.72,2.62,0
20160615:1011,214.57,0,116.83,4.01,56.22,17.49,2.62,0
20160615:1111,412.2,0,208.92,7.18,59.77,18.18,2.41,0
20160615:1211,617.17,11.27,293.98,10.34,59.27,18.46,2.21,0
20160615:1311,975.36,117.66,361.5,14.73,54.9,18.43,1.72,0
20160615:1411,679.4,41.63,294.69,10.95,47.96,18.45,1.17,0
20160615:1511,76.86,0,51.16,1.76,39.65,18.16,0.28,0
20160615:1611,973.47,339.87,138.45,13.47,30.77,17.47,1.86,0
20160615:1711,442.8,94.23,136.79,7.67,21.83,16.61,1.45,0
20160615:1811,113.41,42.26,47.44,5.21,13.2,15.83,1.24,0
20160615:1911,11.71,0,14.74,0.56,5.22,14.9,0.9,0
20160615:2011,0,0,0,0,0,14.32,1.17,0
20160615:2111,0,0,0,0,0,13.34,1.03,0
20160615:2211,0,0,0,0,0,13.51,0.48,0
20160615:2311,0,0,0,0,0,12.11,1.52,0
20160616:0011,0,0,0,0,0,11.79,1.59,0
20160616:0111,0,0,0,0,0,11.43,1.66,0
20160616:0211,0,0,0,0,0,11.15,1.59,0
20160616:0311,0,0,0,0,0,10.8,1.66,0
20160616:0411,47.84,0,34.91,1.32,7.03,10.62,1.59,0
20160616:0511,98.98,0,60.51,2.28,15.19,12.16,1.31,0
20160616:0611,121,24.56,58.62,10.43,23.92,14.09,1.66,0
20160616:0711,382.66,7.08,187.06,6.85,32.88,15.75,2,0
20160616:0811,724.71,78.24,276.14,12.42,41.68,16.46,1.79,0
20160616:0911,305.83,0,159.46,5.48,49.76,17.49,1.59,0
20160616:1011,1301.85,301.59,345.56,19.45,56.24,18.29,1.38,0
20160616:1111,802.38,48.52,348.96,13.06,59.81,18.96,1.1,0
20160616:1211,295.44,0,156.05,5.36,59.32,19.44,1.38,0
20160616:1311,1079.79,167.16,369.57,15.99,54.96,19.37,1.24,0
20160616:1411,578.31,19.64,268.87,9.64,48.01,19.04,1.45,0
20160616:1511,377.75,3.38,189.7,6.59,39.71,18.11,1.93,0
20160616:1611,475.14,36.58,200.13,7.73,30.83,16.61,2.28,0
20160616:1711,98.6,0,61.4,2.11,21.89,16.12,2.69,0
20160616:1811,134.34,5.97,75.51,3.1,13.26,15.87,2.62,0
20160616:1911,26.76,0,24.05,0.91,5.28,16.24,1.86,0
20160616:2011,0,0,0,0,0,15.41,1.66,0
20160616:2111,0,0,0,0,0,14.58,1.52,0
20160616:2211,0,0,0,0,0,13.77,1.72,0
20160616:2311,0,0,0,0,0,13.42,1.59,0
20160617:0011,0,0,0,0,0,13.08,1.72,0
20160617:0111,0,0,0,0,0,12.72,1.66,0
20160617:0211,0,0,0,0,0,12.42,1.59,0
20160617:0311,0,0,0,0,0,12.25,1.86,0
20160617:0411,0,0,5.43,0.21,7.03,12.36,1.66,0
20160617:0511,114.65,0,68.27,2.58,15.19,13.25,1.31,0
20160617:0611,73.46,0,48.61,1.67,23.91,14.16,1.45,0
20160617:0711,332.79,2.52,166.96,5.89,32.87,14.26,2.41,0
20160617:0811,408.41,2.98,200.51,7,41.67,14.47,2.97,0
20160617:0911,405.28,0,202.1,6.94,49.76,14.64,3.24,0
20160617:1011,307.32,0,157.76,5.42,56.25,14.95,3.59,0
20160617:1111,427.73,0,213.19,7.32,59.83,16.05,4.14,0
20160617:1211,354.07,0,179.93,6.18,59.36,16.4,4.14,0
20160617:1311,1231.57,220.07,371.46,17.13,55.01,17.05,4.41,0
20160617:1411,1054.67,172.08,333.23,14.85,48.07,17.33,4.69,0
20160617:1511,1046.36,229.7,271.07,14.18,39.76,17.1,4.55,0
20160617:1611,982.9,328.07,145.93,13.39,30.89,16.91,4.41,0
20160617:1711,537.96,185.91,95.01,9.34,21.95,16.57,4.14,0
20160617:1811,124.32,37.54,54.71,5.04,13.32,15.98,3.52,0
20160617:1911,25.64,0,23.27,0.88,5.33,14.8,2.9,0
20160617:2011,0,0,0,0,0,13.7,2.21,0
20160617:2111,0,0,0,0,0,12.65,2.28,0
20160617:2211,0,0,0,0,0,12.11,2.34,0
20160617:2311,0,0,0,0,0,11.97,2.41,0
20160618:0011,0,0,0,0,0,11.89,2.34,0
20160618:0111,0,0,0,0,0,11.77,2.34,0
20160618:0211,0,0,0,0,0,11.67,2.34,0
20160618:0311,0,0,0,0,0,11.72,2.34,0
20160618:0411,7.39,0,11.64,0.44,7.02,11.67,2.55,0
20160618:0511,95.78,0,58.96,2.23,15.18,12.34,2.41,0
20160618:0611,128.27,22.8,62.5,10.31,23.9,13.15,2.83,0
20160618:0711,498.65,35.72,212.42,9.49,32.86,14.31,3.24,0
20160618:0811,812.2,123.36,267.64,13.85,41.66,15.1,3.1,0
20160618:0911,463.81,2.69,227.04,7.88,49.76,15.63,3.1,0
20160618:1011,1293.99,272.03,352.66,18.92,56.25,16.35,3.17,0
20160618:1111,433.85,0,217.45,7.47,59.85,17.16,3.31,0
20160618:1211,466.84,1.13,232.06,8,59.39,17.76,3.38,0
20160618:1311,167.23,0,94.65,3.25,55.05,17.69,3.45,0
20160618:1411,373.64,0,189.31,6.5,48.12,16.76,3.66,0
20160618:1511,250.11,0,132.18,4.54,39.81,16.03,4.41,0
20160618:1611,489.55,38.65,202.14,7.85,30.94,15.67,4.69,0
20160618:1711,80,0,52.02,1.79,22,15.34,4.83,0
20160618:1811,116.93,2.27,68.67,2.55,13.37,14.82,4.62,0
20160618:1911,23.06,0,21.72,0.82,5.38,14.07,4.07,0
20160618:2011,0,0,0,0,0,13.45,4.28,0
20160618:2111,0,0,0,0,0,13.12,4.21,0
20160618:2211,0,0,0,0,0,12.91,4,0
20160618:2311,0,0,0,0,0,12.8,3.79,0
20160619:0011,0,0,0,0,0,12.64,3.45,0
20160619:0111,0,0,0,0,0,12.37,3.17,0
20160619:0211,0,0,0,0,0,12.14,3.1,0
20160619:0311,0,0,0,0,0,11.77,3.03,0
20160619:0411,0,0,5.43,0.21,7.01,11.73,2.97,0
20160619:0511,20.68,0,20.17,0.76,15.16,12.05,2.97,0
20160619:0611,75.84,0,49.46,1.7,23.88,12.66,3.1,0
20160619:0711,377.06,5.52,182.91,6.62,32.84,13.3,4.28,0
20160619:0811,437.3,4.45,210.81,7.41,41.65,13.62,4.07,0
20160619:0911,539.28,8.08,253.96,8.96,49.75,14.36,4.07,0
20160619:1011,273.89,0,142.41,4.89,56.25,14.82,3.93,0
20160619:1111,585.53,6.46,277.9,9.69,59.86,15.26,4,0
20160619:1211,700.18,21.37,315.96,11.31,59.42,15.48,3.93,0
20160619:1311,392.36,0,196.98,6.77,55.09,15.82,3.86,0
20160619:1411,1335.06,327.77,314.11,17.54,48.16,15.82,3.52,0
20160619:1511,968.12,186.81,277.54,13.44,39.86,15.88,3.1,0
20160619:1611,835.19,207.86,196.3,11.77,30.98,16.02,3.03,0
20160619:1711,256.93,10.29,126.15,4.66,22.04,15.92,2.9,0
20160619:1811,121.5,2.28,71.21,2.64,13.41,15.68,2.07,0
20160619:1911,6.15,0,10.86,0.41,5.42,15.22,0.48,0
20160619:2011,0,0,0,0,0,14.05,2.28,0
20160619:2111,0,0,0,0,0,13.16,2.9,0
20160619:2211,0,0,0,0,0,12.98,3.52,0
20160619:2311,0,0,0,0,0,13.12,4.14,0
20160620:0011,0,0,0,0,0,13.29,4.62,0
20160620:0111,0,0,0,0,0,13.6,4.97,0
20160620:0211,0,0,0,0,0,13.88,5.17,0
20160620:0311,0,0,0,0,0,13.88,5.38,0
20160620:0411,20.46,0,20.17,0.76,6.99,14,5.72,0
