time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20160519:0911,1092.94,189.03,345.71,11.92,47.96,15.7,1.66,0
20160519:1011,721.08,30.41,323.94,8.75,54.19,16.46,2.14,0
20160519:1111,569.76,4.71,278.8,7.19,57.37,17.14,2.48,0
20160519:1211,1067.34,132.91,390.94,12.06,56.53,17.85,2.69,0
20160519:1311,322.18,0,168.38,4.3,51.96,17.91,2.83,0
20160519:1411,1557.04,643.22,125.4,16.22,44.87,18.32,3.1,0
20160519:1511,1057.03,332.65,185.98,12.06,36.41,18.67,3.24,0
20160519:1611,599.66,144.82,162.49,8.28,27.35,18.65,3.38,0
20160519:1711,235.55,28.97,110.28,4.68,18.19,18.29,3.52,0
20160519:1811,71.5,0,48.57,1.33,9.32,17.5,3.24,0
20160519:1911,0,0,0,0,0,16.27,2.62,0
20160519:2011,0,0,0,0,0,15.01,1.86,0
20160519:2111,0,0,0,0,0,13.92,1.52,0
20160519:2211,0,0,0,0,0,12.72,1.72,0
20160519:2311,0,0,0,0,0,11.95,2.07,0
20160520:0011,0,0,0,0,0,11.22,2.41,0
20160520:0111,0,0,0,0,0,11.07,2.69,0
20160520:0211,0,0,0,0,0,10.88,2.97,0
20160520:0311,0,0,0,0,0,10.49,3.24,0
20160520:0411,19.86,0,19.76,0.54,4.48,10.23,3.38,0
20160520:0511,9.6,0,13.29,0.34,13.01,10.66,3.52,0
20160520:0611,29.91,0,25.7,0.66,22.04,11.37,3.38,0
20160520:0711,153.36,0,86.85,2.22,31.21,11.98,3.59,0
20160520:0811,286.27,0,148,3.78,40.11,12.62,3.93,0
20160520:0911,289.56,0,149.77,3.82,48.14,13.1,4.07,0
20160520:1011,285.1,0,148,3.78,54.38,13.4,3.72,0
20160520:1111,222.6,0,119.64,3.05,57.57,14.09,4.83,0
20160520:1211,256.73,0,135.59,3.46,56.74,14.79,5.38,0
20160520:1311,271.44,0,142.68,3.64,52.15,15.24,4.83,0
20160520:1411,304.17,0,157.75,4.03,45.05,15.18,4.28,0
20160520:1511,173.62,0,97.48,2.49,36.58,15.27,4.48,0
20160520:1611,255.14,1.55,133.85,3.46,27.52,15.24,4.07,0
20160520:1711,229.87,9.77,117.97,3.64,18.36,15.4,2.69,0
20160520:1811,72.27,0,48.57,1.33,9.49,15.32,2.28,0
20160520:1911,0,0,0,0,0,14.47,2.21,0
20160520:2011,0,0,0,0,0,13.47,2.14,0
20160520:2111,0,0,0,0,0,12.74,2.14,0
20160520:2211,0,0,0,0,0,12.15,2.14,0
20160520:2311,0,0,0,0,0,11.53,2.21,0
20160521:0011,0,0,0,0,0,11.6,2.28,0
20160521:0111,0,0,0,0,0,11.29,2.41,0
20160521:0211,0,0,0,0,0,10.96,2.62,0
20160521:0311,0,0,0,0,0,10.81,2.76,0
20160521:0411,19.77,0,19.76,0.54,4.64,10.95,2.83,0
20160521:0511,102.28,11.23,58.63,3.73,13.16,11.64,2.97,0
20160521:0611,347.84,29.86,150.7,4.8,22.19,13.04,2.9,0
20160521:0711,160.78,0,91.28,2.33,31.36,14.57,3.31,0
20160521:0811,724.14,68.34,283.93,8.48,40.26,16.24,3.72,0
20160521:0911,1399.36,372.32,309,14.3,48.3,17.64,4.14,0
20160521:1011,1006.78,115.13,376.62,11.42,54.57,19.36,4.69,0
20160521:1111,1443.83,323.24,390.83,15.11,57.78,20.9,4.83,0
20160521:1211,1260.76,226.1,397.24,13.73,56.94,21.52,4.69,0
